1/4/15,1.3012963
1/11/15,1.37064815
1/18/15,1.39111111
1/25/15,1.39712963
2/1/15,1.24703704
2/8/15,1.31046296
2/15/15,1.38759259
2/22/15,1.36268519
3/1/15,1.31101852
3/8/15,1.36009259
3/15/15,1.39194444
3/22/15,1.34925926
3/29/15,1.39759259
4/5/15,1.41296296
4/12/15,1.36398148
4/19/15,1.37166667
4/26/15,1.38518519
5/3/15,1.28388889
5/10/15,1.32351852
5/17/15,1.35314815
5/24/15,1.38046296
5/31/15,1.38240741
6/7/15,1.38092593
6/14/15,1.40046296
6/21/15,1.40842593
6/28/15,1.40648148
7/5/15,1.4137963
7/12/15,1.41564815
7/19/15,1.3875
7/26/15,1.42083333
8/2/15,1.47731481
8/9/15,1.4312963
8/16/15,1.44981481
8/23/15,1.44453704
8/30/15,1.41944444
9/6/15,1.43435185
9/13/15,1.46324074
9/20/15,1.44805556
9/27/15,1.45092593
10/4/15,1.41916667
10/11/15,1.37333333
10/18/15,1.39231481
10/25/15,1.38305556
11/1/15,1.30490741
11/8/15,1.33435185
11/15/15,1.34
11/22/15,1.33092593
11/29/15,1.34287037
12/6/15,1.28915888
12/13/15,1.28787037
12/20/15,1.34537037
12/27/15,1.29842593
1/3/16,1.20638889
1/10/16,1.22768519
1/17/16,1.27166667
1/24/16,1.24222222
1/31/16,1.25296296
2/7/16,1.17388889
2/14/16,1.23231481
2/21/16,1.27666667
2/28/16,1.26555556
3/6/16,1.25694444
3/13/16,1.19703704
3/20/16,1.19768519
3/27/16,1.24518519
4/3/16,1.23537037
4/10/16,1.1737963
4/17/16,1.2212963
4/24/16,1.18962963
5/1/16,1.1637037
5/8/16,1.14851852
5/15/16,1.21583333
5/22/16,1.22462963
5/29/16,1.24592593
6/5/16,1.24268519
6/12/16,1.30092593
6/19/16,1.27777778
6/26/16,1.31083333
7/3/16,1.29472222
7/10/16,1.35324074
7/17/16,1.42805556
7/24/16,1.48231481
7/31/16,1.44833333
8/7/16,1.41601852
8/14/16,1.41888889
8/21/16,1.41564815
8/28/16,1.39388889
9/4/16,1.37203704
9/11/16,1.35685185
9/18/16,1.44814815
9/25/16,1.53444444
10/2/16,1.57527778
10/9/16,1.48296296
10/16/16,1.48444444
10/23/16,1.54074074
10/30/16,1.70203704
11/6/16,1.61944444
11/13/16,1.58444444
11/20/16,1.49972222
11/27/16,1.49648148
12/4/16,1.36916667
12/11/16,1.30777778
12/18/16,1.27712963
12/25/16,1.30990741
1/1/17,1.27666667
1/8/17,1.29444444
1/15/17,1.31861111
1/22/17,1.22324074
1/29/17,1.27453704
2/5/17,1.14472222
2/12/17,1.20398148
2/19/17,1.26935185
2/26/17,1.24111111
3/5/17,1.28740741
3/12/17,1.43611111
3/19/17,1.46814815
3/26/17,1.40407407
4/2/17,1.44805556
4/9/17,1.46592593
4/16/17,1.50481481
4/23/17,1.5437037
4/30/17,1.55055556
5/7/17,1.46166667
5/14/17,1.52833333
5/21/17,1.56083333
5/28/17,1.57953704
6/4/17,1.56462963
6/11/17,1.52157407
6/18/17,1.53850467
6/25/17,1.55691589
7/2/17,1.56953704
7/9/17,1.54027778
7/16/17,1.58101852
7/23/17,1.56342593
7/30/17,1.57037037
8/6/17,1.6062037
8/13/17,1.64157407
8/20/17,1.73685185
8/27/17,1.8112037
9/3/17,1.85518519
9/10/17,1.84388889
9/17/17,1.83138889
9/24/17,1.83333333
10/1/17,1.8712963
10/8/17,1.84333333
10/15/17,1.78287037
10/22/17,1.66453704
10/29/17,1.60018519
11/5/17,1.55907407
11/12/17,1.5087963
11/19/17,1.49916667
11/26/17,1.50212963
12/3/17,1.38537037
12/10/17,1.34148148
12/17/17,1.36898148
12/24/17,1.43990741
12/31/17,1.28351852
