Jan-01-2017,49737,34027325,1023459,1160000,0,0
Jan-08-2017,157060,39236762,1526467,710000,0,0
Jan-15-2017,215612,52039402,1468592,100000,0,0
Jan-22-2017,827113,53333782,1445898,1880000,0,0
Jan-29-2017,1027998,42147960,1111063,2400000,0,0
Feb-05-2017,1234162,30933781,1156233,1690000,0,0
Feb-12-2017,295324,27950418,1010628,1160000,0,0
Feb-19-2017,1133648,38527777,1037626,1220000,0,0
Feb-26-2017,2323343,44689453,1022209,970000,0,0
Mar-05-2017,3944362,40765723,1259655,1370000,0,0
Mar-12-2017,5095482,36717635,693232,140000,0,0
Mar-19-2017,6280357,36543990,366982,730000,0,0
Mar-26-2017,4568585,30834171,1065122,700000,0,0
Apr-02-2017,6584821,35770263,670685,610000,0,0
Apr-09-2017,7959508,36749720,282879,210000,0,0
Apr-16-2017,8641787,22925372,192446,90000,0,48000
Apr-23-2017,10323122,40348647,236223,100000,0,0
Apr-30-2017,12303320,36232090,94928,110000,0,144000
May-07-2017,11809738,28180809,14222,60000,0,426669
May-14-2017,11382973,31334422,0,60000,0,3223726
May-21-2017,11646104,29201469,0,80000,0,6447450
May-28-2017,11653982,23293649,0,120000,0,9434136
Jun-04-2017,8860062,23780302,0,260000,0,8912652
Jun-11-2017,8601985,24935830,0,680000,0,14174908
Jun-18-2017,7539339,26794619,0,90000,0,12420823
Jun-25-2017,8151799,29664224,0,80000,0,11299629
Jul-02-2017,8203815,21194543,0,110000,0,10714145
Jul-09-2017,4908984,21898316,0,180000,0,9102282
Jul-16-2017,9366792,27012908,0,0,0,7585235
Jul-23-2017,8020220,24269719,0,0,0,6447449
Jul-30-2017,5730747,21520808,0,50000,0,8485982
Aug-06-2017,3741987,22009002,683933,0,0,6400043
Aug-13-2017,3251191,26308329,1965734,130000,0,7016343
Aug-20-2017,2219981,26338738,3115547,90000,0,5546703
Aug-27-2017,2446908,26023377,3869897,0,0,2512609
Sep-03-2017,635990,19011264,3956073,60000,0,4124472
Sep-10-2017,269077,24869769,6306792,0,0,5843001
Sep-17-2017,26838,30616116,6865930,450000,0,1211267
Sep-24-2017,10800,32716583,7694083,260000,0,142223
Oct-01-2017,2775,29423637,5687980,1270000,0,0
Oct-08-2017,0,31133178,4617100,40000,0,0
Oct-15-2017,0,31080402,3547870,460000,0,0
Oct-22-2017,0,28546897,5143557,660000,0,0
Oct-29-2017,0,42043262,2310849,2870000,0,0
Nov-05-2017,0,38607982,2131943,1630000,0,0
Nov-12-2017,0,43371777,1768242,0,0,0
Nov-19-2017,0,35489223,1532521,1030000,0,0
Nov-26-2017,0,26262026,1139829,510000,0,0
Dec-03-2017,0,31135925,560018,1050000,0,0
Dec-10-2017,0,38747853,836794,1600000,0,0
Dec-17-2017,39213,45064194,491040,1760000,0,0
Dec-24-2017,356516,52770946,451476,1500000,0,0
Dec-31-2017,234104,39690951,539815,900000,0,0
